NUMERO;NPER;SECC;SEGM;NOMBARRIO;Estrato;Sexo;Edad;E45_1;E45_2;E45_3;Fuma?;E190_1;E190_1_1;E190_2;E190_2_1;E190_3;E190_3_1;E191;E192;E197_1;E212_1;E215_1;E60 (Celular);F66 (Trabajo);F73;F74;F85 (Horas);G126_1 (Sueldo);G_ITND_1;G142;G_IT_1 (jubil);G_IT_2 (pensionistas);POBPCOAC (cond act eco);PT1 (TOTAL DE INGRESOS PERSONALES)
2018019686;3;1;1;Ciudad Vieja;3;2;13;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
2018004629;3;1;1;Ciudad Vieja;3;1;15;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;7;0
2018040809;2;1;1;Ciudad Vieja;3;1;19;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;7;0
2018012274;5;1;1;Ciudad Vieja;3;1;22;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;11;0
2018042408;4;1;1;Ciudad Vieja;3;1;23;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;1;4;3700
2018012274;4;1;1;Ciudad Vieja;3;1;25;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;20;9000;2;0;2;2;2;15458
2018015482;2;1;1;Ciudad Vieja;3;2;25;2;1;2;1;1;1;2;0;2;0;1;0;1;0;0;1;1;1;0;32;19000;1;12000;2;2;2;48458
2018012739;3;1;1;Ciudad Vieja;3;2;27;1;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;2;0;2;2;6;2000
2018015482;1;1;1;Ciudad Vieja;3;1;31;2;1;2;1;1;1;2;0;2;0;3;5;1;0;0;1;1;1;0;42;19000;1;17000;2;2;2;57958
2018042869;1;1;1;Ciudad Vieja;3;2;31;2;1;2;1;1;1;2;0;2;0;3;1;1;0;0;1;1;1;0;40;25000;2;0;2;2;2;27071
2018042869;2;1;1;Ciudad Vieja;3;1;33;2;1;2;3;0;0;0;0;0;0;0;0;1;0;0;1;1;6;0;50;0;1;50000;2;2;2;65071
2018042408;1;1;1;Ciudad Vieja;3;1;34;2;2;2;1;1;1;2;0;2;0;1;1;1;1;0;1;1;2;1;40;18000;2;0;2;2;2;27073
2018007576;2;1;1;Ciudad Vieja;3;2;39;2;1;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;40;60000;2;0;2;2;2;92042
2018042408;3;1;1;Ciudad Vieja;3;1;40;2;2;2;4;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;40;28000;2;0;2;2;2;30013
