Seccion.Segmento;Cantidad de personas;Promedio de Estrato;Suma de PT1;Promedio de PT1_2
18.222;126;4;4239571;33647.38889
18.206;107;5;5282494;49369.1028
24.225;106;4;4137437;39032.42453
24.217;103;4;3118074;30272.56311
24.102;102;5;5073845;49743.57843
18.105;100;5;4744421;47444.21
24.125;99;4;4291625;43349.74747
18.117;99;5;4602895;46493.88889
10.232;96;4;4100726;42715.89583
23.109;95;4;3013038;31716.18947
24.101;95;5;4735930;49851.89474
10.333;94;4;5419133;57650.35106
24.119;93;4;3183948;34236
10.41;93;5;4130331;44412.16129
18.321;91;5;3762796;41349.40659
10.64;90;5;4855661;53951.78889
10.59;89;5;5266589;59175.1573
10.51;88;5;5091522;57858.20455
10.148;87;4;2105135;24196.95402
10.58;87;5;3423388;39349.28736
24.210;86;4;3204022;37256.06977
24.116;85;4;2991469;35193.75294
18.115;83;4;3988529;48054.56627
18.107;82;5;4233756;51631.17073
10.40;82;4;2382929;29060.10976
10.124;80;4;2414741;30184.2625
10.61;80;5;4807549;60094.3625
10.246;79;5;3596899;45530.36709
18.226;79;5;2858721;36186.34177
18.214;79;5;4200068;53165.41772
18.113;79;5;4525406;57283.62025
10.65;79;5;3625275;45889.55696
10.54;79;5;3570776;45199.6962
10.150;78;5;3104365;39799.55128
18.221;77;4;6368833;82712.11688
18.212;77;5;4007956;52051.37662
10.134;74;4;2793760;37753.51351
18.114;74;5;3737745;50510.06757
18.104;74;5;3124324;42220.59459
24.213;73;4;2302202;31537.0137
24.211;73;5;2953571;40459.87671
10.130;73;4;2185043;29932.09589
18.106;73;5;5161378;70703.80822
10.55;73;5;3920217;53701.60274
18.123;72;4;3079556;42771.61111
10.44;72;4;2839962;39443.91667
24.117;71;4;2439934;34365.26761
7.10;71;4;3808682;53643.40845
18.201;70;5;5562659;79466.55714
4.103;70;4;2718064;38829.48571
10.250;69;5;2636462;38209.5942
10.234;69;5;2801288;40598.37681
18.125;69;5;3061211;44365.37681
6.104;69;4;2756473;39948.88406
15.104;69;4;2315140;33552.75362
10.235;68;5;2611509;38404.54412
18.229;68;5;3941156;57958.17647
18.213;68;5;2638958;38808.20588
10.146;68;5;2409737;35437.30882
10.53;68;5;2457515;36139.92647
6.204;67;4;1927367;28766.67164
6.202;67;4;1794475;26783.20896
15.209;67;4;2726545;40694.70149
18.208;67;5;3123930;46625.8209
10.132;67;4;2435122;36345.10448
1.105;67;4;2730010;40746.41791
18.306;66;5;3182840;48224.84848
7.206;66;4;2043164;30957.0303
24.216;65;4;2268233;34895.89231
18.209;65;5;5019329;77220.44615
18.205;65;5;2988223;45972.66154
18.116;65;5;2888621;44440.32308
10.135;64;5;2381420;37209.6875
15.107;64;4;2561905;40029.76563
24.111;64;5;3026548;47289.8125
10.60;64;5;2842404;44412.5625
6.201;63;4;2334273;37051.95238
10.168;63;5;2304337;36576.77778
15.112;63;4;2249611;35708.11111
10.45;63;5;2964792;47060.19048
18.220;61;4;2633179;43166.86885
15.206;61;4;2091177;34281.59016
18.315;60;5;2451405;40856.75
7.203;60;4;2589086;43151.43333
10.225;59;4;1560202;26444.10169
24.202;59;5;3279546;55585.52542
24.113;59;5;2600353;44073.77966
4.203;58;4;2040604;35182.82759
10.126;58;4;1504997;25948.22414
18.111;58;5;3436969;59258.08621
18.108;58;5;3030965;52258.01724
10.230;57;5;1902652;33379.85965
18.204;57;5;4067732;71363.7193
24.108;57;5;2764614;48502
18.10;57;5;2451121;43002.12281
10.233;56;5;2217819;39603.91071
18.119;56;5;2363176;42199.57143
10.76;56;5;5109778;91246.03571
4.1;56;4;1686458;30115.32143
24.4;56;5;3441876;61462.07143
18.218;53;4;2394853;45185.90566
